335A, 335A, 31.28190, -97.42710, 217.0
336A, 336A, 31.38700, -96.84430, 140.0
337A, 337A, 31.31590, -95.88540, 150.0
338A, 338A, 31.35670, -95.31060, 137.0
339A, 339A, 31.33310, -94.55600, 82.0
340A, 340A, 31.41670, -93.88960, 57.0
341A, 341A, 31.33340, -93.16810, 93.0
342A, 342A, 31.37470, -92.32490, 37.0
343A, 343A, 31.28390, -91.61690, 15.0
344A, 344A, 31.45270, -90.73180, 78.0
345A, 345A, 31.30800, -90.03090, 134.0
346A, 346A, 31.38760, -89.46490, 91.0
347A, 347A, 31.40170, -88.54120, 40.0
348A, 348A, 31.41290, -87.90230, 57.0
349A, 349A, 31.35040, -87.19240, 88.0
350A, 350A, 31.42070, -86.33530, 109.0
351A, 351A, 31.27530, -85.60360, 48.0
352A, 352A, 31.47930, -84.92740, 101.0
353A, 353A, 31.34740, -84.21720, 54.0
355A, 355A, 31.34380, -82.85180, 69.0
356A, 356A, 31.32470, -82.12750, 36.0
357A, 357A, 31.42390, -81.48550, 7.0
425A, 425A, 30.78620, -104.98570, 1337.0
426A, 426A, 30.66890, -104.02930, 1943.0
427A, 427A, 30.84980, -103.40180, 1031.0
428A, 428A, 30.72630, -102.68470, 982.0
429A, 429A, 30.62480, -101.89380, 804.0
430A, 430A, 30.78660, -101.23620, 768.0
431A, 431A, 30.68240, -100.60790, 700.0
432A, 432A, 30.87550, -99.79370, 647.0
433A, 433A, 30.75440, -99.09100, 447.0
434A, 434A, 30.81420, -98.26900, 462.0
435A, 435A, 30.78300, -97.58510, 247.0
435B, 435B, 30.78270, -97.58500, 248.0
436A, 436A, 30.77020, -96.79600, 109.0
437A, 437A, 30.82920, -96.13860, 95.0
438A, 438A, 30.75000, -95.47410, 97.0
439A, 439A, 30.79370, -94.76600, 90.0
440A, 440A, 30.74560, -93.95870, 59.0
441A, 441A, 30.74980, -93.18980, 53.0
442A, 442A, 30.71190, -92.43140, 15.0
443A, 443A, 30.76420, -91.78090, 10.0
444A, 444A, 30.71530, -90.74630, 40.0
445A, 445A, 30.73030, -90.33800, 51.0
446A, 446A, 30.79120, -89.36450, 55.0
447A, 447A, 30.79520, -88.65420, 34.0
448A, 448A, 30.93090, -87.86080, 25.0
449A, 449A, 30.75960, -87.21510, 57.0
450A, 450A, 30.80380, -86.58630, 77.0
451A, 451A, 30.61600, -85.74670, 20.0
452A, 452A, 30.84920, -85.18300, 35.0
453A, 453A, 30.85410, -84.31970, 82.0
454A, 454A, 30.71450, -83.63020, 50.0
455A, 455A, 30.74220, -83.02600, 44.0
456A, 456A, 30.72480, -82.02230, 26.0
457A, 457A, 30.61990, -81.55630, 16.0
526A, 526A, 30.06090, -104.08980, 1405.0
527A, 527A, 30.14560, -103.61190, 1419.0
528A, 528A, 30.16150, -102.78800, 1183.0
529A, 529A, 30.12460, -102.22040, 764.0
530A, 530A, 30.14890, -101.33790, 636.0
531A, 531A, 30.16450, -100.54640, 661.0
532A, 532A, 30.12780, -99.90490, 703.0
533A, 533A, 30.07180, -99.03510, 556.0
534A, 534A, 30.02840, -98.47530, 461.0
535A, 535A, 30.02900, -97.57110, 170.0
536A, 536A, 30.07560, -97.06520, 115.0
537A, 537A, 30.07990, -96.31550, 92.0
538A, 538A, 30.22190, -95.49000, 59.0
539A, 539A, 30.10840, -94.72360, 15.0
540A, 540A, 30.20930, -93.97960, 10.0
541A, 541A, 30.05960, -93.18750, 0.0
542A, 542A, 30.12470, -92.55130, -1.0
543A, 543A, 30.08560, -91.85570, 4.0
544A, 544A, 30.11000, -91.16120, -2.0
545A, 545A, 30.04410, -90.48940, 3.0
546A, 546A, 30.23300, -89.71910, 0.0
552A, 552A, 30.13270, -85.29380, 17.0
553A, 553A, 30.18900, -84.43170, 16.0
554A, 554A, 30.08410, -83.68360, 12.0
555A, 555A, 30.12120, -82.96660, 29.0
556A, 556A, 30.00150, -82.40570, 45.0
557A, 557A, 30.01600, -81.72910, 24.0
626A, 626A, 29.55400, -104.13350, 979.0
627A, 627A, 29.45280, -103.38870, 1163.0
628A, 628A, 29.48620, -102.88850, 655.0
631A, 631A, 29.41230, -100.57590, 344.0
632A, 632A, 29.50710, -99.78630, 420.0
633A, 633A, 29.45910, -99.17660, 320.0
634A, 634A, 29.38150, -98.35150, 188.0
635A, 635A, 29.38770, -97.77360, 119.0
636A, 636A, 29.48100, -97.05700, 90.0
637A, 637A, 29.43900, -96.33240, 45.0
638A, 638A, 29.41930, -95.44810, 8.0
645A, 645A, 29.45730, -90.59660, 1.0
646A, 646A, 29.58320, -89.82450, 0.0
655A, 655A, 29.51070, -83.25520, 6.0
656A, 656A, 29.36890, -82.53480, 28.0
